"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,District Wide,999 - Districtwide Expenses,4391 - CARRYOVER - PRIOR YEAR,"$1,773 ",$0 ,$0 ,"$1,773.49 "
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,District Wide,999 - Districtwide Expenses,4399 - SURPLUS,"$26,487 ",$0 ,$0 ,"$26,487.29 "
01 - GENERAL FUND,RESTRICTED,9060 - Broad Foundation,District Wide,999 - Districtwide Expenses,4391 - CARRYOVER - PRIOR YEAR,"$2,389 ",$0 ,$0 ,"$2,388.90 "
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,2405 - CLERICAL SALARIES,$0 ,"$43,924 ","$9,350 ","($53,274.49)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,2425 - CLERICAL SALARIES OVERTIME,$0 ,$648 ,$0 ,($648.11)
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,2450 - CLERICAL SUBSTITUTES,$0 ,"$26,363 ",$0 ,"($26,362.85)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3202 - PERS CLASSIFIED,$0 ,"$8,202 ","$1,452 ","($9,654.10)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$0 ,"$3,050 ",$580 ,"($3,630.05)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3322 - MEDICARE CLASSIFIED,$0 ,"$1,029 ",$136 ,"($1,164.14)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3342 - PARS CLASSIFIED,$0 ,$339 ,$152 ,($490.19)
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3402 - HEALTH & WELFARE CLASSIFIED,$0 ,"$12,348 ","$3,437 ","($15,785.32)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3502 - ST UNEMPLOY INS CLASSIFIED,$0 ,$76 ,$10 ,($85.77)
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3602 - WORKERS COMP CLASSIFIED,$0 ,"$4,256 ",$561 ,"($4,816.85)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,3902 - OTHER BENEFITS CLASSIFIED,$0 ,"$1,896 ",$394 ,"($2,289.76)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,5800 - OTH SERVICES & OPERATING EXPS,$0 ,"$96,972 ",$0 ,"($96,972.21)"
01 - GENERAL FUND,RESTRICTED,9333 - MEASURE N,District Wide,999 - Districtwide Expenses,7281 - ALL OTHER TRFS TO DISTRICTS,"$2,203,928 ","$2,203,928 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,1105 - TEACHERS SALARIES,"($774,381)",$0 ,$0 ,"($774,381.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,1119 - TEACHER ON SPEC ASSIN SCHOOL,"($235,191)",$0 ,$0 ,"($235,191.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,1150 - TEACHERS SUBSTITUTES,$0 ,"$58,058 ",$0 ,"($58,057.90)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,1205 - PUPILSUPPT SALARIES,"($141,465)",$0 ,$0 ,"($141,465.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,"1305 - SUPV, ADMIN, INSTR COACHES SAL",$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,1905 - OTHERCERT SALARIES,($110),$0 ,$0 ,($110.00)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2105 - INSTRAIDES SALARIES,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2205 - CLASSSUPPT SALARIES,"($390,583)",$0 ,$0 ,"($390,583.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2222 - CLASSSUPPT SALARIES EXTRA COMP,$0 ,$583 ,$0 ,($583.46)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2250 - CLASSSUPPT SUBSTITUTES,$0 ,$78 ,$0 ,($77.56)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2305 - SUPV&ADM SALARIES,"($72,438)",$0 ,$0 ,"($72,438.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2405 - CLERICAL SALARIES,"$121,842 ","$83,699 ","$8,849 ","$29,293.61 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2450 - CLERICAL SUBSTITUTES,"$7,500 ","$67,213 ",$0 ,"($59,712.82)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,2905 - OTHERCLASS SALARIES,"($16,099)",$0 ,$0 ,"($16,099.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3101 - STRS CERTIFICATED,"($273,676)","$7,117 ",$0 ,"($280,793.32)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3102 - STRS CLASSIFIED,"($58,203)",$0 ,$0 ,"($58,203.00)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3201 - PERS CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3202 - PERS CLASSIFIED,"($39,892)","$13,850 ","$1,374 ","($55,115.90)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","($78,395)",$94 ,$0 ,"($78,489.30)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","($30,042)","$6,620 ",$549 ,"($37,210.33)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3321 - MEDICARE CERTIFICATED,"($10,825)",$835 ,$0 ,"($11,660.36)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3322 - MEDICARE CLASSIFIED,"($4,075)","$2,198 ",$128 ,"($6,401.11)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3332 - ALTERNATIVE RET CLASSIFIED,($14),$0 ,$0 ,($14.00)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3341 - PARS CERTIFICATED,$0 ,$6 ,$0 ,($6.11)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3342 - PARS CLASSIFIED,"($4,064)","$1,430 ",$0 ,"($5,493.75)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3401 - HEALTH & WELFARE CERTIFICATED,"($167,870)","$4,501 ",$0 ,"($172,370.60)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3402 - HEALTH & WELFARE CLASSIFIED,"$519,031 ","$13,190 ",$500 ,"$505,340.80 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3501 - ST UNEMPLOY INS CERTIFICATED,($388),$62 ,$0 ,($449.87)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3502 - ST UNEMPLOY INS CLASSIFIED,($722),$162 ,$9 ,($893.26)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3503 - STATE UNEMPLOYMNT-LEC CHARGE,$0 ,"$152,760 ",$0 ,"($152,759.55)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3601 - WORKERS COMP CERTIFICATED,"($154,075)","$3,438 ",$0 ,"($157,512.96)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3602 - WORKERS COMP CLASSIFIED,"($58,505)","$9,094 ",$531 ,"($68,129.97)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3901 - OTHER BENEFITS CERTIFICATED,$0 ,$20 ,$0 ,($19.90)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,3902 - OTHER BENEFITS CLASSIFIED,"$3,151 ","$2,838 ",$12 ,$300.81 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,4310 - SUPPLIES,"$5,652 ","$2,207 ",$65 ,"$3,379.84 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,4311 - MEETING REFRESHMENTS,"$5,000 ","$1,930 ",$754 ,"$2,315.82 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,4399 - SURPLUS,"$22,500 ",$0 ,$0 ,"$22,500.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,"4420 - COMPUTER < $5,000","$1,663 ","$1,663 ","$1,663 ","($1,662.66)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5210 - MILEAGE/PERSONAL EXP REIMB,$33 ,$32 ,$0 ,$1.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5300 - DUES & MEMBERSHIPS,"$126,562 ","$75,283 ","$34,563 ","$16,716.13 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5515 - DISPOSAL SERVICES,"$65,779 ","$193,924 ",$0 ,"($128,144.42)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5517 - Recycling,"$6,192 ","$19,888 ",$0 ,"($13,696.65)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5520 - GAS-HEATING-ELECTRICITY,"$88,574 ","$310,473 ",$0 ,"($221,898.43)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5555 - WATER/SEWAGE,"$60,591 ","$117,218 ",$0 ,"($56,627.29)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5825 - CONSULTANTS,"$845,821 ","$514,042 ","$262,445 ","$69,333.50 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5826 - EXTERNAL WORK ORDER SERVICES,"$500,813 ","$522,550 ","$55,371 ","($77,108.59)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5829 - ADMISSION  FEES,"$15,000 ","$15,000 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5846 - LICENSING AGREEMENTS,"$4,641,891 ","$3,924,716 ","$349,968 ","$367,207.23 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5847 - FEDERAL PAYROLL TAX PENALTY,"$5,040 ","$5,040 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,5930 - TELEPHONE,"$1,635,734 ","$1,431,148 ","$55,849 ","$148,736.28 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,7310 - INTERPROGRAM SUPPORT/COSTS,"($3,758,422)","($935,467)",$0 ,"($2,822,955.28)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,7350 - INTERFUND SUPPORT/COSTS,"($1,810,228)","($463,497)",$0 ,"($1,346,730.52)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,7438 - DEBT SERVICE INTEREST,"$685,621 ",$0 ,$0 ,"$685,621.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,7439 - Other Debt Serv,"$3,204,953 ","$3,869,042 ",$0 ,"($664,088.50)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,District Wide,999 - Districtwide Expenses,7616 - IFT GENERAL FUND TO CAFETERIA,"$3,191,732 ",$0 ,$0 ,"$3,191,732.00 "
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,1105 - TEACHERS SALARIES,"$84,588 ","$69,651 ","$13,954 ",$982.31 
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3101 - STRS CERTIFICATED,"$12,047 ","$10,051 ","$2,014 ",($17.03)
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3321 - MEDICARE CERTIFICATED,"$1,211 ","$1,010 ",$202 ,($1.71)
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3401 - HEALTH & WELFARE CERTIFICATED,"$7,341 ","$6,128 ","$1,229 ",($16.68)
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3501 - ST UNEMPLOY INS CERTIFICATED,$89 ,$75 ,$15 ,($0.11)
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3601 - WORKERS COMP CERTIFICATED,"$5,009 ","$4,179 ",$837 ,($7.04)
01 - GENERAL FUND,UNRESTRICTED,0050 - Employees on Loan,District Wide,999 - Districtwide Expenses,3901 - OTHER BENEFITS CERTIFICATED,$67 ,$55 ,$12 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,2205 - CLASSSUPPT SALARIES,"$165,125 ","$3,467 ",$0 ,"$161,658.36 "
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,2220 - CLASSSUPPT SALARIES STIPENDS,"$129,920 ","$442,696 ",$0 ,"($312,775.76)"
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,2225 - CLASSSUPPT SALARIES OVERTIME,$0 ,$911 ,$0 ,($911.33)
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,2250 - CLASSSUPPT SUBSTITUTES,"$11,161 ","$11,161 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,3202 - PERS CLASSIFIED,$155 ,$155 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$8,485 ","$27,877 ",$0 ,"($19,392.40)"
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,3322 - MEDICARE CLASSIFIED,"$2,077 ","$6,645 ",$0 ,"($4,567.58)"
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,3342 - PARS CLASSIFIED,$0 ,$41 ,$0 ,($41.25)
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,3502 - ST UNEMPLOY INS CLASSIFIED,$152 ,$488 ,$0 ,($335.44)
01 - GENERAL FUND,UNRESTRICTED,0070 - Civic Center Rental,District Wide,999 - Districtwide Expenses,3602 - WORKERS COMP CLASSIFIED,"$8,577 ","$27,403 ",$0 ,"($18,826.08)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,999 - Districtwide Expenses,4399 - SURPLUS,"$366,955 ",$0 ,$0 ,"$366,955.00 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,District Wide,999 - Districtwide Expenses,5800 - OTH SERVICES & OPERATING EXPS,$0 ,"$268,265 ",$0 ,"($268,265.02)"
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,1105 - TEACHERS SALARIES,"$275,824 ","$69,020 ","$15,614 ","$191,190.26 "
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3101 - STRS CERTIFICATED,"$10,938 ","$9,446 ","$2,253 ",($760.94)
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$15 ,$15 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3321 - MEDICARE CERTIFICATED,"$1,116 ","$1,001 ",$226 ,($111.09)
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3401 - HEALTH & WELFARE CERTIFICATED,"$7,341 ","$5,394 ","$1,229 ",$717.38 
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3501 - ST UNEMPLOY INS CERTIFICATED,$82 ,$74 ,$17 ,($8.13)
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3601 - WORKERS COMP CERTIFICATED,"$4,618 ","$4,141 ",$937 ,($459.64)
01 - GENERAL FUND,UNRESTRICTED,0112 - Legal Settlements,District Wide,999 - Districtwide Expenses,3901 - OTHER BENEFITS CERTIFICATED,$65 ,$51 ,$12 ,$2.04 
01 - GENERAL FUND,UNRESTRICTED,0521 - PROFESSIONAL DEV BLOCK GRANT,District Wide,999 - Districtwide Expenses,5822 - BANK FEES,$0 ,"$91,061 ",$0 ,"($91,060.72)"
01 - GENERAL FUND,UNRESTRICTED,0900 - SB39 - STATE LOAN DRAWDOWN,District Wide,999 - Districtwide Expenses,7438 - DEBT SERVICE INTEREST,"$369,181 ",$0 ,$0 ,"$369,181.00 "
01 - GENERAL FUND,UNRESTRICTED,0900 - SB39 - STATE LOAN DRAWDOWN,District Wide,999 - Districtwide Expenses,7439 - Other Debt Serv,"$1,725,722 ",$0 ,$0 ,"$1,725,722.00 "
11 - ADULT EDUCATION FUND,RESTRICTED,0060 - Stale Dated Warrants,District Wide,999 - Districtwide Expenses,4391 - CARRYOVER - PRIOR YEAR,$467 ,$0 ,$0 ,$466.96 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,"$3,809,779 ","$3,156,263 ","$631,707 ","$21,808.82 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"$427,644 ","$450,484 ","$91,155 ","($113,995.29)"
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,"$49,291 ","$43,879 ","$9,160 ","($3,747.40)"
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,"$724,959 ","$528,069 ","$108,211 ","$88,678.25 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,"$3,637 ","$3,335 ",$676 ,($373.73)
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"$212,462 ","$187,161 ","$37,902 ","($12,600.51)"
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$795 ,"$2,602 ",$555 ,"($2,362.11)"
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,District Wide,998 - School Contingency Funds,5700 - INTPRGM - ITL,"($1,352,142)","($1,352,142)",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,1120 - TEACHERS SALARIES STIPENDS,"$61,350 ",$900 ,$0 ,"$60,450.00 "
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,"$8,853 ",$0 ,$0 ,"$8,852.81 "
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,$890 ,$13 ,$0 ,$876.53 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3401 - HEALTH & WELFARE CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3501 - ST UNEMPLOY INS CERTIFICATED,$66 ,$0 ,$0 ,$65.64 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3601 - WORKERS COMP CERTIFICATED,"$3,834 ",$0 ,$0 ,"$3,834.38 "
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,3901 - OTHER BENEFITS CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,4035 - TITLE 2-A TEACHER QUALITY,District Wide,998 - School Contingency Funds,4399 - SURPLUS,$8 ,$0 ,$0 ,$7.82 
01 - GENERAL FUND,RESTRICTED,9014 - CA EDUCATION INITIATIVE FD,District Wide,998 - School Contingency Funds,4391 - CARRYOVER - PRIOR YEAR,"$11,267 ",$0 ,$0 ,"$11,266.69 "
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,1119 - TEACHER ON SPEC ASSIN SCHOOL,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3101 - STRS CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9115 - MPR FINANCIAL CORPORATION,District Wide,998 - School Contingency Funds,3321 - MEDICARE CERTIFICATED,$0 ,$0 ,$0 ,$0.00 
